,Unnamed: 0,article_link,headline,is_sarcastic
0,0,https://www.huffingtonpost.com/entry/trump-organization-resigning-conflicts_us_58867ec1e4b096b4a23417db,trump letter resigning from hundreds of companies seems like a big deal. it isn't.,0
1,1,https://www.theonion.com/aquarium-unveils-floating-carcasses-of-the-pacific-exhi-1819574735,aquarium unveils 'floating carcasses of the pacific' exhibit,1
2,2,https://entertainment.theonion.com/early-humans-finally-drunk-enough-to-invent-dancing-1819571222,early humans finally drunk enough to invent dancing,1
3,3,https://www.huffingtonpost.com/entry/colorados-new-revenge-por_b_5427703.html,colorado's new revenge porn statute is good law and sound policy,0
4,4,https://www.huffingtonpost.com/entry/donate-eggs_b_5884734.html,i donated my eggs so i could travel the world,0
5,5,https://www.huffingtonpost.com/entry/hack-election-russia_us_5952cacce4b0da2c731f6090,we must ensure democratic integrity in the digital age,0
6,6,https://www.theonion.com/microlender-forecloses-on-goat-1819571828,microlender forecloses on goat,1
7,7,https://www.huffingtonpost.com/entry/these-parents-classified-ad-may-raise-a-few-eyebrows_us_574703dde4b055bb11714f07,these parents' classified ad may raise a few eyebrows,0
8,8,https://www.huffingtonpost.com/entry/north-korea-nuclear-site-tunnels-punggye-ri_us_5b06a008e4b07c4ea1057391,"north korea demolishes tunnels at nuclear test site, reports say",0
9,9,https://www.huffingtonpost.com/entry/solution-to-your-budgeting-problems_us_57c4631be4b0cdfc5ac85404,the solution to all of your budgeting problems,0
10,10,https://local.theonion.com/noisy-upstairs-neighbors-wake-man-at-3-p-m-1819567437,noisy upstairs neighbors wake man at 3 p.m.,1
11,11,https://www.huffingtonpost.com/entry/bridge-over-troubled-water_us_576d7acfe4b0dbb1bbba7b90,a gay take on a pop classic becomes a rallying cry for orlando,0
12,12,https://www.huffingtonpost.com/entry/central-african-republic_n_6316934.html,interfaith efforts work for reconciliation in the central african republic,0
13,13,https://www.huffingtonpost.com/entry/stormy-daniels-day-proclaimed_us_5b05adfbe4b0784cd2b0d414,'stormy daniels day' declared in west hollywood as adult star gets key to city,0
14,14,https://www.theonion.com/boss-dick-not-going-to-suck-itself-1819587191,boss' dick not going to suck itself,1
15,15,https://politics.theonion.com/trump-s-prefrontal-cortex-admits-it-can-t-possibly-filt-1819579136,trump's prefrontal cortex admits it can't possibly filter all impulsive comments coming from rest of brain,1
16,16,https://www.huffingtonpost.com/entry/philadelphia-suburbs-voting_us_5820f0f1e4b0aac624866fb6,former bernie supporters canvass for clinton in critical philly suburbs,0
17,17,https://sports.theonion.com/ohio-state-hires-jim-tressel-as-head-football-coach-1819572717,ohio state hires jim tressel as head football coach,0
18,18,https://www.huffingtonpost.com/entry/alyssa-edwards-all-stars-drag-race_us_57fd1171e4b0b6a43035aedf,last words: alyssa edwards reflects on 'rupaul's all stars drag race',0
19,19,https://www.theonion.com/st-christopher-statue-embedded-in-motorists-forehead-1819565776,st. christopher statue embedded in motorist's forehead,1
20,20,https://www.huffingtonpost.com/entry/police-body-camera-policy_us_5a0a22bfe4b0bc648a0d5419,bad policy threatens promise of expanded use of police body cameras,1
21,21,https://www.huffingtonpost.com/entry/we-waited-36-years-to-get-married-and-the-judge-made_us_576f5b56e4b06721d4c0b095,"we waited 36 years to get married, and the judge made all the difference",0
22,22,https://www.huffingtonpost.com/entry/its-just-15-minutes-to-a-grown-up-but-not-to-kids_us_5839ae13e4b050dfe6187c35,"it's just 15 minutes to a grown-up, but not to kids",1
23,23,https://www.huffingtonpost.com/entry/mattie-rogers-weightlifting-blooper_us_56fd761fe4b0a06d58053706,this weightlifting blooper was funny -- but we all missed the bigger picture,0
24,24,https://www.huffingtonpost.com/entry/school-aide-fed-pet-treats-to-students_n_5465968.html,"school aide fed pet treats to 75 students, claimed they were cookies: report",1
25,25,https://www.huffingtonpost.com/entry/why-manufacturers-should-_b_5960550.html,why manufacturers should support ending crude oil export ban,0
26,26,https://www.huffingtonpost.com/entry/haiku-reviews-art-roundup_b_6405390.html,haiku reviews: art 2014 roundup iv,0
27,27,https://www.huffingtonpost.com/entry/donald-trump-fox-interviews_us_59efc1e3e4b0bf1f8836a7dd,donald trump continues to favor fox news over all other networks,0
28,28,https://www.theonion.com/man-betrays-his-heart-by-telling-friend-he-can-have-las-1819579490,man betrays his heart by telling friend he can have last dumpling,1
29,29,https://www.huffingtonpost.com/entry/trump-being-under-criminal-investigation-changes-everything_us_5941edaee4b0d99b4c92113e,trump being under criminal investigation changes everything,0
30,30,https://www.huffingtonpost.com/entry/brooklyn-from-page-to-screen_us_565eec4ae4b08e945fed6fe5,how 'brooklyn' became the year's best book adaptation,0
31,31,https://www.huffingtonpost.com/entry/america-flooding-coastal-cities_us_5965c99fe4b09b587d6343d8,hundreds of coastal communities could face monthly floods in the coming decades,0
32,32,https://www.huffingtonpost.com/entry/shoplifter-book_n_5725458.html,graphic novel perfectly captures post-grad life,1
33,33,https://entertainment.theonion.com/jack-lalanne-pops-back-up-after-cool-down-1819590144,jack lalanne pops back up after cool down,1
34,34,https://www.theonion.com/commuter-playing-some-sort-of-alphabet-sudoku-1819588248,commuter playing some sort of alphabet sudoku,1
35,35,https://local.theonion.com/parents-password-cracked-on-first-try-1819566342,parents' password cracked on first try,1
36,36,https://www.theonion.com/reagans-body-dies-1819587607,reagan's body dies,1
37,37,https://www.theonion.com/motorist-overwhelmed-by-array-of-jerky-choices-1819587234,motorist overwhelmed by array of jerky choices,1
38,38,https://www.huffingtonpost.com/entry/this-bracelet-lets-a-dad-feel-what-its-like-to-be-pregnant-in-his-wrist_us_58af10dbe4b057efdce9e631,this bracelet lets a dad feel what it's like to be pregnant ... in his wrist,1
39,39,https://local.theonion.com/woman-in-kickboxing-class-can-tell-she-s-going-to-whine-1819576348,woman in kickboxing class can tell she's going to whine about how sore she is in the morning,1
40,40,https://www.huffingtonpost.com/entry/trump-pope-sculpture_us_592600f1e4b0265790f4dd58,donald trump gave the pope a sculpture his holiness will probably regift,0
41,41,https://www.theonion.com/report-causes-of-death-getting-less-cool-over-time-1819576532,report: causes of death getting less cool over time,1
42,42,https://www.huffingtonpost.com/entry/epa-takes-real-steps-towa_b_5806014.html,epa takes real steps toward curbing smog pollution - now we need your voice,0
43,43,https://politics.theonion.com/bush-trying-to-decide-how-to-spend-his-tax-refund-1819566077,bush trying to decide how to spend his tax refund,0
44,44,https://www.huffingtonpost.com/entry/michael-b-jordan-responds-trolls_n_7428500.html,michael b. jordan responds to trolls saying a black man can't play johnny storm,0
45,45,https://www.huffingtonpost.com/entry/the-problem-with-paternalizing-disabled-people-to-protest_us_583b41dde4b050dfe6187d48,the problem with paternalizing disabled people to protest donald trump,0
46,46,https://www.huffingtonpost.com/entry/nicolas-cage-missing-ohio-teen_us_564e2dcde4b00b7997f9e6f5,nicolas cage helps raise awareness about missing ohio teen,0
47,47,https://www.huffingtonpost.com/entry/6-of-the-best-designed-marijuana-shops-across-america_us_58f8dec8e4b0f02c3870e788,6 of the best-designed marijuana shops across america,0
48,48,https://www.huffingtonpost.com/entry/norway-fm-radio-digital-transition_us_5a3186d1e4b01bdd7659914c,norway eliminates fm radio despite majority disapproval from citizens,1
49,49,https://www.huffingtonpost.com/entry/nana-finally-makes-it-to_b_6041314.html,nana finally makes it to never land in battle for the book!,0
50,50,https://www.huffingtonpost.com/entry/wall-street-journal-climate-change-ads_us_57602f98e4b071ec19ef45d8,wall street journal ads call out the paper's bias on climate change,0
51,51,https://www.huffingtonpost.com/entry/gaby-hoffmann-pregnant_n_5466050.html,gaby hoffmann is pregnant with first child,1
52,52,https://www.huffingtonpost.com/entry/life-between-curfews-and-kids_b_7019474.html,life between curfews and kids,0
53,53,https://www.huffingtonpost.com/entry/zero-deforestation-commitments-the-first-step-towards-certified-palm-oil_b_7503308.html,zero deforestation commitments the first step towards certified palm oil,1
54,54,https://local.theonion.com/old-friend-avoided-in-hometown-convenience-store-1819564823,old friend avoided in hometown convenience store,1
55,55,https://www.huffingtonpost.com/entry/tom-petty-transgender-rights-concert_us_59d52a8be4b0cde458728e07,tom petty's last tour included a subtle nod of support for trans rights,0
56,56,https://www.huffingtonpost.com/entry/renegotiating-nafta-is-likely-to-be-a-climate-disaster_us_59935a4ce4b04b19336108c5,nafta renegotiation is a stark reminder that states and cities must protect against climate disaster,0
57,57,https://local.theonion.com/youngest-sibling-in-family-kind-of-thought-mom-would-lo-1819576686,youngest sibling in family kind of thought mom would lose steam by now,1
58,58,https://www.theonion.com/endangered-species-list-edited-to-fit-poster-1819569169,endangered species list edited to fit poster,1
59,59,https://www.theonion.com/friends-regret-encouraging-man-to-say-what-s-on-his-min-1819576852,friends regret encouraging man to say what's on his mind,1
60,60,https://www.huffingtonpost.com/entry/the-shrimp-at-red-lobster-are-officially-growing_us_56560311e4b079b2818a050b,the shrimp at red lobster are officially growing,0
61,61,https://www.huffingtonpost.com/entry/moodiness-study_us_5640bedae4b0411d3071a8be,being moody helps us adapt to change,0
62,62,https://politics.theonion.com/biden-calls-dibs-on-qaddafis-clothes-1819572522,biden calls dibs on qaddafi's clothes,1
63,63,https://politics.theonion.com/bill-clinton-has-unibeam-installed-in-chest-1819589744,bill clinton has unibeam installed in chest,1
64,64,https://local.theonion.com/man-sleeps-through-his-stop-on-elevator-1819592365,man sleeps through his stop on elevator,1
65,65,https://entertainment.theonion.com/liver-flees-george-jones-body-1819563983,liver flees george jones' body,0
66,66,https://www.theonion.com/green-bay-taxi-driver-has-seen-whole-heck-of-a-lot-1819567552,green bay taxi driver has seen whole heck of a lot,1
67,67,https://www.theonion.com/100-of-teenagers-huge-fucking-assholes-confirms-stu-1822880649,"'100% of teenagers huge fucking assholes,' confirms study by sobbing, red-faced scientists",1
68,68,https://www.theonion.com/obamas-aunt-sends-him-article-mentioning-united-states-1819572726,obama's aunt sends him article mentioning united states,0
69,69,https://www.theonion.com/president-elect-edwards-seen-entering-chinatown-massage-1819590968,president-elect edwards seen entering chinatown massage parlor,1
70,70,https://www.huffingtonpost.com/entry/the-internet-of-you_b_6417608.html,the internet of you,0
71,71,https://politics.theonion.com/new-report-finds-voters-have-no-idea-how-outraged-they-1819579394,new report finds voters have no idea how outraged they supposed to be about anything anymore,1
72,72,https://www.huffingtonpost.com/entry/tuesdays-morning-email-rnc-returns-to-roy-moore-campaign-despite-sexual-misconduct-claims_us_5a268f8ae4b07324e84080e7,"tuesday's morning email: rnc returns to roy moore campaign, despite sexual misconduct claims",0
73,73,https://politics.theonion.com/america-a-fascist-police-state-stoned-underage-drunk-d-1819566051,"america a fascist police state, stoned underage drunk driver charges",0
74,74,https://www.huffingtonpost.com/entry/top-5-bagel-spots-in-nyc_b_5653272.html,top 5 bagel spots in nyc,0
75,75,https://www.huffingtonpost.com/entry/reynolds-lorillard-merger-tobacco-_n_5577500.html,two big tobacco companies want to merge,0
76,76,https://www.huffingtonpost.com/entry/skittles-highway-spill-cattle-feed-candy_us_5886270de4b070d8cad3d74e,skittles highway spill reveals awful trend in the food industry,0
77,77,https://www.huffingtonpost.com/entry/crude-oil-train-routes_n_6226512.html,government data sharpens focus on crude-oil train routes,0
78,78,https://local.theonion.com/majority-of-office-s-supplies-used-to-apply-for-differe-1819576100,majority of office's supplies used to apply for different job,1
79,79,https://www.huffingtonpost.com/entry/diet-racism-collegehumor_n_5701268.html,watch: these guys explain 'diet racism',0
80,80,https://local.theonion.com/woman-conducting-ongoing-scientific-experiment-on-own-s-1819579752,woman conducting ongoing scientific experiment on own skin,1
81,81,https://www.huffingtonpost.com/entry/climate-change-presidential-debate_us_580827d4e4b0dd54ce37bb84,presidential debate ignores climate change ... again,0
82,82,https://www.huffingtonpost.comhttp://qz.com/685351/the-thing-that-will-wreck-many-americans-retirement/,the thing that will wreck many americans' retirement,0
83,83,https://www.huffingtonpost.com/entry/opinion-haaland-renewables-climate-change_us_5af057d3e4b0ab5c3d67b47f,switching to renewables will save millions of american lives,0
84,84,https://www.huffingtonpost.com/entry/art-skid-row_us_5ad0ba82e4b0edca2cb92662,an art colony thrives on skid row,0
85,85,https://www.huffingtonpost.com/entry/california-confederate-flag_n_5698482.html,confederate flag doesn't fly with california lawmakers,0
86,86,https://www.huffingtonpost.com/entry/healthy-aging-tips-for-30-somethings_us_57c4e6f2e4b0c936aaba9fe2,healthy aging tips for 30-somethings,0
87,87,https://local.theonion.com/new-therapist-obsessed-with-old-therapist-1819568711,new therapist obsessed with old therapist,1
88,88,https://www.huffingtonpost.com/entry/water-from-air-fontus_n_6160136.html,this water bottle for bikes turns air into water as you ride,1
89,89,https://www.huffingtonpost.com/entry/trump-salmond-letters-wind-farm_us_585ab35fe4b0d9a59456b982,trump once bombarded scottish leader with 16 letters slamming a wind farm,0
90,90,https://www.theonion.com/kodak-nabisco-apologize-for-drunken-one-night-merger-1819565104,"kodak, nabisco apologize for drunken one-night merger",1
91,91,https://local.theonion.com/report-94-of-south-dakotans-unprepared-for-mt-rushmo-1819588857,report: 94% of south dakotans unprepared for mt. rushmore faces coming alive and eating everyone,0
92,92,https://www.huffingtonpost.com/entry/trump-nuclear-attack_us_598dfdcae4b09071f699a005,"yes, trump has the power to launch a nuclear attack on his own",0
93,93,https://www.huffingtonpost.com/entry/finlandia-wine-beer-cheese-glasses_us_5a21d7cde4b03c44072da4d2,"would you pay $5,000 for wine and beer glasses made of cheese?",0
94,94,https://www.huffingtonpost.com/entry/donald-trump-disabilities-retards_us_5801707ae4b0e8c198a85154,"in donald trump's america, people like marlee matlin are worthy of mocking",0
95,95,https://www.huffingtonpost.com/entry/ruth-bader-ginsburg-colin-kaepernick-regret_us_58013130e4b0e8c198a80efb,ruth bader ginsburg says she never should've waded into colin kaepernick controversy,0
96,96,https://www.huffingtonpost.com/entry/exo-winter-olympics-closing-ceremony-k-pop_us_5a92c526e4b01e9e56bcbc16,k-pop fans lost their minds during the winter olympics closing ceremony,0
97,97,https://www.theonion.com/argument-between-employees-shatters-illusion-of-profess-1819573738,argument between employees shatters illusion of professionalism traditionally associated with walgreens,1
98,98,https://www.theonion.com/area-horse-hung-like-horse-1819586398,area horse hung like horse,1
99,99,https://www.theonion.com/stephen-hawking-reportedly-working-on-juicy-tell-all-fo-1819580314,stephen hawking reportedly working on juicy tell-all formula,0
100,100,https://www.huffingtonpost.com/entry/how-blaming-many-sides-hurts-our-children_us_59937ae0e4b0a88ac1bc37fe,how blaming “many sides” hurts our children,0
101,101,https://www.huffingtonpost.com/entry/is-2017-being-set-up-for-a-financial-crisis_us_58695a4fe4b04d7df167d5a7,is 2017 set up for a financial crisis?,0
102,102,https://www.theonion.com/single-unemployed-mother-leeching-off-government-1819578163,"single, unemployed mother leeching off government",1
103,103,https://local.theonion.com/mom-sleeps-in-past-sunrise-1819578903,mom sleeps in past sunrise,1
